"i","n","c","p","g","a","pr","s","e"
28353,"Anna Elżbieta FOTYGA","Polsko","Prawo i Sprawiedliwość","Skupina Evropských konzervativců a reformistů",223,265,9,84.2
125070,"Lampros FOUNTOULIS","Řecko","Popular Association – Golden Dawn","Nezařazení poslanci",261,265,4,98.5
96957,"Ashley FOX","Spojené království","Conservative Party","Skupina Evropských konzervativců a reformistů",248,265,0,93.6
193273,"Romeo FRANZ","Německo","Bündnis 90/Die Grünen","Skupina Zelených/Evropské svobodné aliance",35,35,0,100
125018,"Eugen FREUND","Rakousko","Sozialdemokratische Partei Österreichs","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",256,265,0,96.6
124790,"Doru-Claudian FRUNZULICĂ","Rumunsko","Partidul Social Democrat","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",253,265,0,95.5
192465,"Aleksander GABELIC","Švédsko","Arbetarepartiet- Socialdemokraterna","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",47,50,0,94
2341,"Michael GAHLER","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",259,265,0,97.7
28150,"Kinga GÁL","Maďarsko","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",242,265,0,91.3
125006,"Francesc GAMBÚS","Španělsko","-","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",253,265,1,95.5
28298,"Iratxe GARCÍA PÉREZ","Španělsko","Partido Socialista Obrero Español","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",246,265,0,92.8
96991,"Eider GARDIAZABAL RUBIAL","Španělsko","Partido Socialista Obrero Español","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",252,265,0,95.1
58758,"Elisabetta GARDINI","Itálie","Forza Italia","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",256,265,0,96.6
124817,"Enrico GASBARRA","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",232,265,0,87.5
1913,"Evelyne GEBHARDT","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",259,265,1,97.7
194391,"Stefan GEHROLD","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",24,28,0,85.7
96833,"Jens GEIER","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",246,265,0,92.8
124847,"Elena GENTILE","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",244,265,0,92.1
96940,"Gerben-Jan GERBRANDY","Nizozemsko","Democraten 66","Skupina Aliance liberálů a demokratů pro Evropu",221,265,0,83.4
124815,"Arne GERICKE","Německo","Bündnis C","Skupina Evropských konzervativců a reformistů",251,265,0,94.7
28377,"Lidia Joanna GERINGER de OEDENBERG","Polsko","Bezpartyjna","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",263,265,0,99.2
96730,"Sven GIEGOLD","Německo","Bündnis 90/Die Grünen","Skupina Zelených/Evropské svobodné aliance",226,265,4,85.3
28379,"Adam GIEREK","Polsko","Unia Pracy","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",262,265,1,98.9
124807,"Jens GIESEKE","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",262,265,0,98.9
4533,"Neena GILL","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",253,265,0,95.5
124965,"Nathan GILL","Spojené království","The Brexit Party","Skupina „Evropa Svobody a Přímé Demokracie“",219,265,1,82.6
135491,"María Teresa GIMÉNEZ BARBAT","Španělsko","-","Skupina Aliance liberálů a demokratů pro Evropu",148,188,7,78.7
96956,"Julie GIRLING","Spojené království","Conservative Party","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",223,265,0,84.2
124864,"Michela GIUFFRIDA","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",256,265,0,96.6
193080,"Karine GLOANEC MAURIN","Francie","Parti socialiste","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",39,40,0,97.5
21331,"Sylvie GODDYN","Francie","Debout la France","Skupina „Evropa Svobody a Přímé Demokracie“",243,265,0,91.7
840,"Charles GOERENS","Lucembursko","Parti démocratique","Skupina Aliance liberálů a demokratů pro Evropu",253,265,0,95.5
1164,"Bruno GOLLNISCH","Francie","Front national","Nezařazení poslanci",245,265,0,92.5
28306,"Ana GOMES","Portugalsko","Partido Socialista","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",250,265,1,94.3
127330,"Tania GONZÁLEZ PEÑAS","Španělsko","PODEMOS","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",218,258,2,84.5
125027,"Esteban GONZÁLEZ PONS","Španělsko","Partido Popular","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",261,265,0,98.5
124900,"Beata GOSIEWSKA","Polsko","Prawo i Sprawiedliwość","Skupina Evropských konzervativců a reformistů",261,265,0,98.5
125025,"Marcel de GRAAFF","Nizozemsko","Partij voor de Vrijheid","Skupina Evropa národů a svobody",211,265,0,79.6
125112,"Giorgos GRAMMATIKAKIS","Řecko","The River","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",239,265,0,90.2
28393,"Luis de GRANDES PASCUAL","Španělsko","Partido Popular","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",241,265,2,90.9
124785,"Maria GRAPINI","Rumunsko","Partidul Puterii Umaniste","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",256,265,0,96.6
28220,"Ingeborg GRÄSSLE","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",255,265,0,96.2
133316,"Karoline GRASWANDER-HAINZ","Rakousko","Sozialdemokratische Partei Österreichs","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",205,207,0,99
193879,"Igor GRÄZIN","Estonsko","Eesti Reformierakond","Skupina Aliance liberálů a demokratů pro Evropu",24,32,0,75
28208,"Nathalie GRIESBECK","Francie","Mouvement Démocrate","Skupina Aliance liberálů a demokratů pro Evropu",258,265,0,97.4
124961,"Theresa GRIFFIN","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",230,265,0,86.8
124745,"Iveta GRIGULE-PĒTERSE","Lotyšsko","Zaļo un Zemnieku savienība","Skupina Aliance liberálů a demokratů pro Evropu",233,265,0,87.9
2025,"Françoise GROSSETÊTE","Francie","Les Républicains","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",264,265,0,99.6
23785,"Andrzej GRZYB","Polsko","Polskie Stronnictwo Ludowe","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",245,265,0,92.5
96892,"Roberto GUALTIERI","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",257,265,0,97
96768,"Enrique GUERRERO SALOM","Španělsko","Partido Socialista Obrero Español","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",245,265,4,92.5
96952,"Sylvie GUILLAUME","Francie","Parti socialiste","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",262,265,0,98.9
124763,"Antanas GUOGA","Litva","Independent","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",160,265,15,60.4
124991,"Jytte GUTELAND","Švédsko","Arbetarepartiet- Socialdemokraterna","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",214,265,18,80.8
103488,"Sergio GUTIÉRREZ PRIETO","Španělsko","Partido Socialista Obrero Español","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",231,265,0,87.2
23816,"András GYÜRK","Maďarsko","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",204,265,0,77
96907,"Takis HADJIGEORGIOU","Kypr","Progressive Party of Working People - Left - New Forces","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",249,265,0,94
124727,"Jussi HALLA-AHO","Finsko","Perussuomalaiset","Skupina Evropských konzervativců a reformistů",251,265,0,94.7
96851,"Thomas HÄNDEL","Německo","DIE LINKE.","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",86,265,161,32.5
4555,"Daniel HANNAN","Spojené království","Conservative Party","Skupina Evropských konzervativců a reformistů",194,265,0,73.2
193419,"Christophe HANSEN","Lucembursko","Parti chrétien social luxembourgeois","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",32,32,0,100
28116,"Marian HARKIN","Irsko","Independent","Skupina Aliance liberálů a demokratů pro Evropu",249,265,4,94
28233,"Rebecca HARMS","Německo","Bündnis 90/Die Grünen","Skupina Zelených/Evropské svobodné aliance",198,265,0,74.7
96752,"Martin HÄUSLING","Německo","Bündnis 90/Die Grünen","Skupina Zelených/Evropské svobodné aliance",246,265,0,92.8
2054,"Heidi HAUTALA","Finsko","Vihreä liitto","Skupina Zelených/Evropské svobodné aliance",258,265,0,97.4
118658,"Brian HAYES","Irsko","Fine Gael Party","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",235,265,0,88.7
125023,"Anja HAZEKAMP","Nizozemsko","Partij voor de Dieren","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",237,265,6,89.4
28131,"Anna HEDH","Švédsko","Arbetarepartiet- Socialdemokraterna","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",225,265,12,84.9
124823,"Hans-Olaf HENKEL","Německo","Independent","Skupina Evropských konzervativců a reformistů",244,265,0,92.1
22418,"Esther HERRANZ GARCÍA","Španělsko","Partido Popular","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",227,265,5,85.7
124895,"Krzysztof HETMAN","Polsko","Polskie Stronnictwo Ludowe","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",253,265,0,95.5
124848,"Maria HEUBUCH","Německo","Bündnis 90/Die Grünen","Skupina Zelených/Evropské svobodné aliance",239,265,0,90.2
96872,"Nadja HIRSCH","Německo","Freie Demokratische Partei","Skupina Aliance liberálů a demokratů pro Evropu",67,74,0,90.5
135540,"Czesław HOC","Polsko","Prawo i Sprawiedliwość","Skupina Evropských konzervativců a reformistů",184,186,0,98.9
124841,"Iris HOFFMANN","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",212,265,0,80
96780,"Monika HOHLMEIER","Německo","Christlich-Soziale Union in Bayern e.V.","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",245,265,0,92.5
28124,"Gunnar HÖKMARK","Švédsko","Moderaterna","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",248,265,0,93.6
124715,"György HÖLVÉNYI","Maďarsko","Kereszténydemokrata Néppárt","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",231,265,0,87.2
5846,"Mary HONEYBALL","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",247,265,0,93.2
124957,"Mike HOOKEM","Spojené království","United Kingdom Independence Party","Nezařazení poslanci",208,265,0,78.5
5565,"Brice HORTEFEUX","Francie","Les Républicains","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",262,265,0,98.9
188636,"John HOWARTH","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",88,90,0,97.8
96779,"Danuta Maria HÜBNER","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",257,265,5,97
2338,"Ian HUDGHTON","Spojené království","Scottish National Party","Skupina Zelených/Evropské svobodné aliance",233,265,0,87.9
58789,"Jan HUITEMA","Nizozemsko","Volkspartij voor Vrijheid en Democratie","Skupina Aliance liberálů a demokratů pro Evropu",249,265,0,94
34249,"Filiz HYUSMENOVA","Bulharsko","Movement for Rights and Freedoms","Skupina Aliance liberálů a demokratů pro Evropu",245,265,0,92.5
28266,"Sophia in 't VELD","Nizozemsko","Democraten 66","Skupina Aliance liberálů a demokratů pro Evropu",258,265,0,97.4
28398,"Carlos ITURGAIZ","Španělsko","Partido Popular","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",239,250,0,95.6
96857,"Cătălin Sorin IVAN","Rumunsko","Partidul Prodemo","Nezařazení poslanci",190,265,4,71.7
124886,"Robert Jarosław IWASZKIEWICZ","Polsko","Wolność","Skupina „Evropa Svobody a Přímé Demokracie“",255,265,0,96.2
96684,"Liisa JAAKONSAARI","Finsko","Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",265,265,0,100
28314,"Anneli JÄÄTTEENMÄKI","Finsko","Suomen Keskusta","Skupina Aliance liberálů a demokratů pro Evropu",252,265,0,95.1
96740,"Yannick JADOT","Francie","Europe Écologie","Skupina Zelených/Evropské svobodné aliance",232,265,0,87.5
96772,"Peter JAHR","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",263,265,0,99.2
124754,"Ivan JAKOVČIĆ","Chorvatsko","Istarski demokratski sabor - Dieta democratica istriana","Skupina Aliance liberálů a demokratů pro Evropu",264,265,0,99.6
124770,"Jean-François JALKH","Francie","Rassemblement national","Skupina Evropa národů a svobody",225,265,0,84.9
124939,"Diane JAMES","Spojené království","Independent","Skupina „Evropa Svobody a Přímé Demokracie“",239,265,0,90.2
189065,"France JAMET","Francie","Rassemblement national","Skupina Evropa národů a svobody",81,86,2,94.2
28141,"Lívia JÁRÓKA","Maďarsko","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",63,82,0,76.8
97078,"Ramón JÁUREGUI ATONDO","Španělsko","Partido Socialista Obrero Español","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",250,265,4,94.3
124721,"Benedek JÁVOR","Maďarsko","Együtt 2014 - Párbeszéd Magyarországért","Skupina Zelených/Evropské svobodné aliance",223,265,0,84.2
96781,"Danuta JAZŁOWIECKA","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",247,265,0,93.2
124707,"Petr JEŽEK","Česko","Hnutí Hlas","Skupina Aliance liberálů a demokratů pro Evropu",260,265,0,98.1
96806,"Teresa JIMÉNEZ-BECERRIL BARRIO","Španělsko","Partido Popular","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",231,265,0,87.2
96883,"Eva JOLY","Francie","Europe Écologie","Skupina Zelených/Evropské svobodné aliance",212,265,4,80
96748,"Dennis de JONG","Nizozemsko","Socialistische Partij","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",201,265,0,75.8
125021,"Agnes JONGERIUS","Nizozemsko","Partij van de Arbeid","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",239,265,0,90.2
124728,"Marc JOULAUD","Francie","Les Républicains","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",214,265,10,80.8
124892,"Marek JUREK","Polsko","Prawica Rzeczypospolitej","Skupina Evropských konzervativců a reformistů",246,265,4,92.8
96884,"Philippe JUVIN","Francie","Les Républicains","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",193,265,5,72.8
97014,"Karin KADENBACH","Rakousko","Sozialdemokratische Partei Österreichs","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",256,265,3,96.6
125109,"Eva KAILI","Řecko","Panhellenic Socialist Movement - Olive Tree","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",216,265,0,81.5
96771,"Jarosław KALINOWSKI","Polsko","Polskie Stronnictwo Ludowe","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",240,265,0,90.6
96934,"Sandra KALNIETE","Lotyšsko","Partija ""VIENOTĪBA""","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",243,265,0,91.7
33569,"Syed KAMALL","Spojené království","Conservative Party","Skupina Evropských konzervativců a reformistů",182,265,0,68.7
96837,"Petra KAMMEREVERT","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",261,265,0,98.5
125024,"Barbara KAPPEL","Rakousko","Freiheitliche Partei Österreichs","Skupina Evropa národů a svobody",257,265,0,97
4246,"Othmar KARAS","Rakousko","Österreichische Volkspartei","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",255,265,6,96.2
122885,"Rina Ronja KARI","Dánsko","Folkebevægelsen mod EU","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",198,265,0,74.7
28481,"Sajjad KARIM","Spojené království","Conservative Party","Skupina Evropských konzervativců a reformistů",194,265,0,73.2
124876,"Rikke-Louise KARLSSON","Dánsko","Independent","Nezařazení poslanci",211,265,13,79.6
124887,"Karol KARSKI","Polsko","Prawo i Sprawiedliwość","Skupina Evropských konzervativců a reformistů",251,265,0,94.7
191693,"Elsi KATAINEN","Finsko","Suomen Keskusta","Skupina Aliance liberálů a demokratů pro Evropu",38,55,0,69.1
1849,"Sylvia-Yvonne KAUFMANN","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",256,265,0,96.6
125068,"Manolis KEFALOGIANNIS","Řecko","Nea Demokratia","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",245,265,0,92.5
28424,"Tunne KELAM","Estonsko","Isamaa","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",261,265,0,98.5
124695,"Jan KELLER","Česko","Česká strana sociálně demokratická","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",258,265,0,97.4
96734,"Ska KELLER","Německo","Bündnis 90/Die Grünen","Skupina Zelených/Evropské svobodné aliance",242,265,1,91.3
96668,"Seán KELLY","Irsko","Fine Gael Party","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",259,265,0,97.7
188624,"Wajid KHAN","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",87,90,0,96.7
124953,"Jude KIRTON-DARLING","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",212,265,40,80
28244,"Wolf KLINZ","Německo","Freie Demokratische Partei","Skupina Aliance liberálů a demokratů pro Evropu",61,74,0,82.4
135541,"Sławomir KŁOSOWSKI","Polsko","Prawo i Sprawiedliwość","Skupina Evropských konzervativců a reformistů",180,186,4,96.8
1852,"Dieter-Lebrecht KOCH","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",246,265,14,92.8
124870,"Jeppe KOFOD","Dánsko","Socialdemokratiet","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",254,265,2,95.8
28331,"Jaromír KOHLÍČEK","Česko","Komunistická strana Čech a Moravy","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",155,174,0,89.1
186884,"Arndt KOHN","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",101,112,0,90.2
124824,"Bernd KÖLMEL","Německo","Independent","Skupina Evropských konzervativců a reformistů",254,265,4,95.8
23699,"Kateřina KONEČNÁ","Česko","Komunistická strana Čech a Moravy","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",218,265,30,82.3
96829,"Ádám KÓSA","Maďarsko","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",225,265,0,84.9
124822,"Dietmar KÖSTER","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",222,265,0,83.8
130833,"Stelios KOULOGLOU","Řecko","Coalition of the Radical Left","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",214,236,0,90.7
124857,"Peter KOUROUMBASHEV","Bulharsko","-","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",119,121,0,98.3
102887,"Béla KOVÁCS","Maďarsko","-","Nezařazení poslanci",176,265,1,66.4
97968,"Andrey KOVATCHEV","Bulharsko","Citizens for European Development of Bulgaria","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",260,265,0,98.1
124889,"Agnieszka KOZŁOWSKA-RAJEWICZ","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",247,265,0,93.2
124891,"Zdzisław KRASNODĘBSKI","Polsko","Bezpartyjny","Skupina Evropských konzervativců a reformistů",250,265,1,94.3
1854,"Constanze KREHL","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",239,265,0,90.2
28334,"Urszula KRUPA","Polsko","Independent","Skupina Evropských konzervativců a reformistů",145,149,1,97.3
28284,"Barbara KUDRYCKA","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",252,265,0,95.1
96767,"Werner KUHN","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",236,265,6,89.1
96651,"Eduard KUKAN","Slovensko","Independent","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",250,265,4,94.3
124735,"Miapetra KUMPULA-NATRI","Finsko","Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",233,265,0,87.9
125092,"Kostadinka KUNEVA","Řecko","Coalition of the Radical Left","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",208,265,0,78.5
28389,"Zbigniew KUŹMIUK","Polsko","Prawo i Sprawiedliwość","Skupina Evropských konzervativců a reformistů",264,265,0,99.6
124801,"Cécile Kashetu KYENGE","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",227,265,6,85.7
124736,"Merja KYLLÖNEN","Finsko","Vasemmistoliitto","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",251,265,0,94.7
125113,"Miltiadis KYRKOS","Řecko","The River","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",251,265,0,94.7
125063,"Georgios KYRTSOS","Řecko","Nea Demokratia","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",246,265,0,92.8
124866,"Ilhan KYUCHYUK","Bulharsko","Movement for Rights and Freedoms","Skupina Aliance liberálů a demokratů pro Evropu",236,265,5,89.1
188254,"Patricia LALONDE","Francie","Union des Démocrates et Indépendants","Skupina Aliance liberálů a demokratů pro Evropu",67,97,7,69.1
1204,"Alain LAMASSOURE","Francie","Indépendant","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",255,265,1,96.2
4531,"Jean LAMBERT","Spojené království","Green Party","Skupina Zelených/Evropské svobodné aliance",242,265,0,91.3
96648,"Philippe LAMBERTS","Belgie","Ecologistes Confédérés pour l'Organisation de Luttes Originales","Skupina Zelených/Evropské svobodné aliance",205,265,4,77.4
192635,"Danilo Oscar LANCINI","Itálie","Lega Nord","Skupina Evropa národů a svobody",41,49,0,83.7
1909,"Bernd LANGE","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",245,265,8,92.5
38398,"Esther de LANGE","Nizozemsko","Christen Democratisch Appèl","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",207,265,0,78.1
1928,"Werner LANGEN","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",256,265,0,96.6
96816,"Giovanni LA VIA","Itálie","Forza Italia","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",238,265,6,89.8
124731,"Jérôme LAVRILLEUX","Francie","Indépendant","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",265,265,0,100
124738,"Gilles LEBRETON","Francie","Rassemblement national","Skupina Evropa národů a svobody",248,265,0,93.6
188718,"Christelle LECHEVALIER","Francie","Rassemblement national","Skupina Evropa národů a svobody",82,90,0,91.1
96796,"Ryszard Antoni LEGUTKO","Polsko","Prawo i Sprawiedliwość","Skupina Evropských konzervativců a reformistů",190,265,0,71.7
96735,"Patrick LE HYARIC","Francie","Front de Gauche","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",246,265,1,92.8
4262,"Jo LEINEN","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",253,265,0,95.5
95074,"Jeroen LENAERS","Nizozemsko","Christen Democratisch Appèl","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",253,265,0,95.5
72754,"Innocenzo LEONTINI","Itálie","FRATELLI D' ITALIA","Skupina Evropských konzervativců a reformistů",31,32,0,96.9
1023,"Jean-Marie LE PEN","Francie","Front national","Nezařazení poslanci",92,265,92,34.7
23781,"Janusz LEWANDOWSKI","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",252,265,0,95.1
23768,"Bogusław LIBERADZKI","Polsko","Sojusz Lewicy Demokratycznej","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",242,265,13,91.3
1927,"Peter LIESE","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",245,265,0,92.5
124839,"Arne LIETZ","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",243,265,4,91.7
124808,"Norbert LINS","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",260,265,0,98.1
96728,"Barbara LOCHBIHLER","Německo","Bündnis 90/Die Grünen","Skupina Zelených/Evropské svobodné aliance",251,265,0,94.7
125684,"Philippe LOISEAU","Francie","Rassemblement national","Skupina Evropa národů a svobody",250,265,0,94.3
96709,"Morten LØKKEGAARD","Dánsko","Venstre, Danmarks Liberale Parti","Skupina Aliance liberálů a demokratů pro Evropu",140,171,0,81.9
96765,"Verónica LOPE FONTAGNÉ","Španělsko","Partido Popular","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",221,265,20,83.4
125042,"Javi LÓPEZ","Španělsko","Partit dels Socialistes de Catalunya","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",237,265,1,89.4
96812,"Juan Fernando LÓPEZ AGUILAR","Španělsko","Partido Socialista Obrero Español","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",231,265,0,87.2
125047,"Paloma LÓPEZ BERMEJO","Španělsko","Izquierda Unida","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",225,265,0,84.9
28399,"Antonio LÓPEZ-ISTÚRIZ WHITE","Španělsko","Partido Popular","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",245,265,0,92.5
96854,"Sabine LÖSING","Německo","DIE LINKE.","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",237,265,17,89.4
196042,"Aleksejs LOSKUTOVS","Lotyšsko","Partija ""VIENOTĪBA""","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",6,6,0,100
124820,"Bernd LUCKE","Německo","Liberal-Konservative Reformer","Skupina Evropských konzervativců a reformistů",252,265,0,95.1
96673,"Olle LUDVIGSSON","Švédsko","Arbetarepartiet- Socialdemokraterna","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",261,265,0,98.5
96791,"Elżbieta Katarzyna ŁUKACIJEWSKA","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",251,265,0,94.7
124996,"Peter LUNDGREN","Švédsko","Sverigedemokraterna","Skupina Evropských konzervativců a reformistů",243,265,0,91.7
124883,"Krystyna ŁYBACKA","Polsko","Sojusz Lewicy Demokratycznej","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",242,265,15,91.3
