"i","n","c","p","g","a","pr","s","e"
28497,"Gerard BATTEN","Spojené království","United Kingdom Independence Party","Skupina Evropa národů a svobody",211,265,4,79.6
124760,"Nicolas BAY","Francie","Rassemblement national","Skupina Evropa národů a svobody",239,265,1,90.2
125002,"Hugues BAYET","Belgie","Parti Socialiste","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",241,265,0,90.9
96955,"Catherine BEARDER","Spojené království","Liberal Democrats","Skupina Aliance liberálů a demokratů pro Evropu",234,265,9,88.3
125040,"Beatriz BECERRA BASTERRECHEA","Španělsko","Independiente","Skupina Aliance liberálů a demokratů pro Evropu",261,265,0,98.5
107041,"Heinz K. BECKER","Rakousko","Österreichische Volkspartei","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",247,265,4,93.2
124777,"Tiziana BEGHIN","Itálie","Movimento 5 Stelle","Skupina „Evropa Svobody a Přímé Demokracie“",238,265,4,89.8
4507,"Bas BELDER","Nizozemsko","Staatkundig Gereformeerde Partij","Skupina Evropských konzervativců a reformistů",238,265,0,89.8
28257,"Ivo BELET","Belgie","Christen-Democratisch & Vlaams","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",230,265,1,86.8
96705,"Bendt BENDTSEN","Dánsko","Det Konservative Folkeparti","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",226,265,20,85.3
124867,"Brando BENIFEI","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",245,265,0,92.5
135490,"Xabier BENITO ZILUAGA","Španělsko","PODEMOS","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",175,188,0,93.1
23868,"Monika BEŇOVÁ","Slovensko","SMER-Sociálna demokracia","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",255,265,0,96.2
1985,"Pervenche BERÈS","Francie","Parti socialiste","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",247,265,0,93.2
124740,"Joëlle BERGERON","Francie","Sans étiquette","Skupina „Evropa Svobody a Přímé Demokracie“",229,265,2,86.4
124819,"Goffredo Maria BETTINI","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",200,265,5,75.5
96922,"Izaskun BILBAO BARANDICA","Španělsko","Partido Nacionalista Vasco","Skupina Aliance liberálů a demokratů pro Evropu",252,265,6,95.1
124771,"Dominique BILDE","Francie","Rassemblement national","Skupina Evropa národů a svobody",256,265,4,96.6
97198,"Mara BIZZOTTO","Itálie","Lega Nord","Skupina Evropa národů a svobody",261,265,0,98.5
124992,"Malin BJÖRK","Švédsko","Vänsterpartiet","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",213,265,0,80.4
125044,"José BLANCO LÓPEZ","Španělsko","Partido Socialista Obrero Español","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",259,265,0,97.7
96681,"Vilija BLINKEVIČIŪTĖ","Litva","Lietuvos socialdemokratų partija","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",256,265,0,96.6
124712,"Andrea BOCSKOR","Maďarsko","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",258,265,0,97.4
1037,"Reimer BÖGE","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",258,265,0,97.4
125004,"Franc BOGOVIČ","Slovinsko","Slovenska ljudska stranka","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",258,265,0,97.4
124814,"Simona BONAFÈ","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",236,265,0,89.1
124896,"Michał BONI","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",246,265,0,92.8
21817,"Mario BORGHEZIO","Itálie","Lega Nord","Skupina Evropa národů a svobody",256,265,0,96.6
124796,"David BORRELLI","Itálie","Movimento 5 Stelle","Nezařazení poslanci",239,265,6,90.2
112748,"Biljana BORZAN","Chorvatsko","Socijaldemokratska partija Hrvatske","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",248,265,0,93.6
39711,"Victor BOŞTINARU","Rumunsko","Partidul Social Democrat","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",243,265,4,91.7
124964,"Louise BOURS","Spojené království","Independent","Skupina „Evropa Svobody a Přímé Demokracie“",154,265,20,58.1
124753,"Marie-Christine BOUTONNET","Francie","Rassemblement national","Skupina Evropa národů a svobody",246,265,12,92.8
